School year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2010-2011,BRONX,New York City Geographic District # 8,Ps 48 Joseph R Drake,320800010048,Elementary,New York City,Public,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 62 Inocensio Casanova,320800010062,Elementary,New York City,Public,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 69 Journey Prep School,320800010069,Elementary,New York City,Public,602,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 71 Rose E Scala,320800010071,Elementary,New York City,Public,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,41,1,2,0,0,0,5,0,2,0,0,0,0,0,1,0,0,14
2010-2011,BRONX,New York City Geographic District # 8,Ps 72 Dr William Dorney,320800010072,Elementary,New York City,Public,950,0,0,0,0,0,3,0,1,0,0,1,0,0,0,23,0,0,2,8,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 75,320800010075,Elementary,New York City,Public,632,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2010-2011,BRONX,New York City Geographic District # 8,Ps 93 Albert G Oliver,320800010093,Elementary,New York City,Public,400,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Renaissance High School For Musical Theater And Technology,320800011293,Senior High,New York City,Public,460,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,31,0,7,0,0,0,2,0,0,0,0,0,0,2,2,2,0,27
2010-2011,BRONX,New York City Geographic District # 8,School For Community Research And Learning,320800011540,Senior High,New York City,Public,316,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,15,0,6,0,0,0,1,0,0,0,0,0,0,1,0,1,1,26
2010-2011,BRONX,New York City Geographic District # 8,School For Inquiry And Social Justice (The),320800010337,Middle School,New York City,Public,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
