School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon Possession Through Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2012-2013,Bronx,New York City Geographic District # 8,Hunts Point School (the),320800010424,Junior High,New York City,Public,411,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,0,5,29,2,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12
2012-2013,Bronx,New York City Geographic District # 8,Jane Addams High School For Academic Careers,320800011650,Senior High,New York City,Public,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,1,0,0,0,0,2,2,0,0,13
2012-2013,Bronx,New York City Geographic District # 8,Jhs 123 James M Kiernan,320800010123,Middle,New York City,Public,503,0,0,0,0,0,3,0,0,0,0,2,0,0,1,3,0,1,0,26,0,4,0,0,0,0,0,1,0,0,0,0,0,5,1,0,2
2012-2013,Bronx,New York City Geographic District # 8,Jhs 125 Henry Hudson ,320800010125,Middle,New York City,Public,536,0,0,0,0,0,2,0,0,0,1,1,0,0,1,4,0,6,0,12,0,5,0,0,1,1,0,1,0,0,0,0,0,3,0,0,7
2012-2013,Bronx,New York City Geographic District # 8,Jhs 131 Albert Einstein,320800010131,Middle,New York City,Public,799,0,0,0,0,0,4,0,0,0,1,0,0,0,1,6,0,4,2,66,0,34,0,0,0,3,0,2,0,0,0,0,0,7,0,0,40
2012-2013,Bronx,New York City Geographic District # 8,Millenium Art Academy,320800010312,Senior High,New York City,Public,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,6
2012-2013,Bronx,New York City Geographic District # 8,Mott Hall Community School,320800010467,Junior High,New York City,Public,276,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,15,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8
2012-2013,Bronx,New York City Geographic District # 8,Ms 101 Edward R Byrne ,320800010101,Middle,New York City,Public,482,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,1,1,20,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
2012-2013,Bronx,New York City Geographic District # 8,Ms 301 Paul L Dunbar,320800010301,Middle,New York City,Public,278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ms 302 Luisa Dessus Cruz,320800010302,Middle,New York City,Public,624,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,1,29,2,6,0,0,0,1,0,0,0,0,0,0,0,2,2,2,9
